Category,description
neutral,"aldata solution oyj stock exchange release 11 august 2006 at 11.00 am aldata share subscribed for with 2003 stock option a total of 95,000 new share of aldata solution oyj have been subscribed for with the company 2003a stock option ."
neutral,"alexandria va. dec. 19 united state patent no . 7,853,620 issued on dec. 14 wa assigned to nokia corp. ( espoo finland ) ."
neutral,"alexandria va. dec. 22 united state patent no . 7,854,608 issued on dec. 21 wa assigned to outotec oyj ( espoo finland ) ."
neutral,"alexandria va. jan. 9 united state patent no . 7,862,685 issued on jan. 4 wa assigned to kemira chemical inc. ( marietta ga. ) ."
neutral,alexandria va. oct. 23 hans-otto scheck of espoo finland ha developed a method of identifying remote radio unit in a communication system .
neutral,"alexandria va. oct. 6 united state patent no . 7,804,288 issued on sept. 28 wa assigned to vacon oyj ( vaasa finland ) ."
neutral,alma medium corporation press release 15 march 2010 tyrvaan sanomat and paikallissanomat being bought by suomen paikallissanomat two local paper tyrvaan sanomat and paikallissanomat appearing in sastamala and it neighbouring municipality are to be bought by suomen paikallissanomat oy .
neutral,alma medium corporation press release march 25 2010 tyrv+_+_n sanomat purchase confirmed the business operation of tyrv+æ+æn sanomat oy will be transferred to suomen paikallissanomat oy .
neutral,also finnish industry investment a government-owned investment company will participate in the project .
neutral,also ruukki construction rautaruukki construction division is initiating employer-employee negotiation at it site in alaj+ærvi vimpeli and per+æsein+æjoki in finland .
neutral,altogether capman employ approximately 150 people in helsinki stockholm copenhagen oslo moscow and luxembourg .
neutral,altona stated that the private company of altona chairman kevin maloney tulla resource would take up it entitlement in full .
neutral,an eu law on the issue may be introduced around 2010 .
positive,and earlier this month the company signed a deal with india-based information technology service giant wipro technology to transfer and sell it radio access related r & d activity in berlin .
neutral,another firm air liquide wa exempted because it left the market in 1998 .
neutral,apartment of yit home may be purchased in 5 region of russia where yit subsidiary carry out their activity : moscow and moscow region st. petersburg ekaterinburg kazan and rostov-on-don .
neutral,approximately sek 166 million in repayment ha been demanded for overcharging in the stockholm area with the remaining sek 87 million taken from the western coast the inspectorate said .
negative,a a result the company ha decided it will implement fixed-term temporary lay-offs .
negative,a a result of the negotiation the amount of employment contract to be terminated is 13 .
neutral,a of july 2 2007 the market cap segment will be updated according to the average price in may 2007 .
neutral,a part of the agreement aspocomp will also give meadville a 10 pct slice of a subsidiary operating in oulu finland .
neutral,a part of the reorganisation pohjola insurance 250 field staff for private customer will join the payroll of local cooperative bank from the beginning of october 2008 .
neutral,a part of the reorganization kauko-telko ltd will be divided into telko ltd leipurin ltd hamina terminal service ltd and kaukomarkkinat ltd. .
neutral,aspo group structure and business operation are continually developed without any predefined schedule .
neutral,aspo serf demanding business-to-business customer .
neutral,aspocomp said it will spin off it chinese and indian unit and some equipment from it salo plant in finland into a newly-formed unit most of which it will then sell on to hong kong-listed meadville .
neutral,at the end of last week protalix biotherapeutics inc ( amex : plx ) published a prospectus for a first offering on amex of about 5 of it share capital .
neutral,at the moment there are approximately 20 vianor sale office in russia .
neutral,automation make it possible to conduct several test simultaneously .
neutral,barclays plc ( lse : barc ) ( nyse : bcs ) credit agricole sa ( epa : aca ) ( cagr .
neutral,basware business transaction service enables the customer to receive and send invoice in an electronic format .
neutral,beef import fell slightly from 2006 to 14mn kilo .
neutral,benefon will turn the salo unit into a b2b business unit and establish a b2c business unit in the uk .
neutral,berling capital umo capital and veikko laine are the biggest shareholder in amanda capital .
neutral,bluewin security is available a a monthly subscription .
neutral,blyk is launching first in the uk market in mid-2007 with other market to follow .
neutral,body e vostok also owns stake in power sale company mosenergosbytbody ( rts : mssb ) ( 50.9 ) altaienergosbyt ( 100 ) saratovenergo ( rts : sare ) body ( 48.36 ) and tambov power sale company ( rts : tasb ) ( 49.01 ) all ofbodywhich it received from the distribution balance .
neutral,both source said nokia would unveil it new phone code-named tube on oct. 2 at an analyst and medium event in london .
neutral,capital base and capital adequacy measurement is based on approach under basel ii .
neutral,capman with office in helsinki stockholm copenhagen and oslo manages nordic buyout mezzanine technology life science and real estate fund with approximately eur2 .6 bn in total capital .
neutral,cardona slowed her vehicle turned around and returned to the intersection where she called 911 .
neutral,cargotec brand hiab kalmar and macgregor are global market leader in their field and their solution are used on land and at sea - wherever cargo is on the move .
neutral,cencorp would focus on the development manufacture and marketing of standard product for production automation .
neutral,change to the as-built model from the design were communicated to the subcontractor to accommodate them into the steel and grc fabrication process .
neutral,cohen & steer inc. : 5 534 530 share representing 4.985 of the share capital and voting right .
neutral,cohen & steer inc. : 5 534 626 share representing 4.985 of the share capital and voting right .
neutral,com and possibly also through photo-msn .
neutral,company evaluated in the report include aladdin ca f-secure kaspersky marshal mcafee microsoft panda proofpoint sophos symantec trend micro tumbleweed and websense .
neutral,connectivity service include outsourced scan and capture which transfer paper invoice into electronic format and basware business transaction service enables the customer to receive and send invoice in an electronic format .
positive,consumption is forecast to grow by about 2 .
neutral,country : finland sector : construction-real estate target : pohjolan design-talo oy buyer : capman oyj vendor : ruukki group oyj deal size in usd : 102.6 m type : divestment status : agreed
neutral,country : ; germany sector : construction-real estate ; machinery-engineering target : caverion gmbh buyer : yit oyj deal size in usd : 90.3 m type : corporate acquisition status : agreed
neutral,cramo is a service company specialising in construction machinery and equipment rental and rental-related service a well a the rental and sale of modular space .
neutral,cramo plc is a service company specialising in construction machinery and equipment rental and rental-related service a well a rental and sale of modular space .
positive,credit 20 november 2009 - finnish glass technology company glaston oyj abp ( hel : gla1v ) said today it concluded a eur74m revolving credit facility agreement with it core bank .
neutral,c cabot export 55 of it production mainly to goodyear bridgestone and michelin plant in poland a well a to germany michelin or italy pirelli through the company logistics center in paris stefan said .
neutral,currently the plant operates on full capacity .
neutral,danske bank is denmark largest bank with 3.5 million customer .
neutral,delivery by outotec will take place over 30 month .
neutral,delivery of nokia 1112 nokia 2310 and nokia 2610 are expected to start in the second quarter of 2006 .
neutral,den bosch-based tomtom is europe largest maker of automotive navigation device while cayman islands-based garmin is larger in the u.s. and overall .
neutral,depending on the market situation such project are sold after 1 to 3 year after completion .
positive,dubbed nokia money solution company official say the initiative would seek to bridge the gap between the banked and unbanked in developing country .
negative,"due to market condition the company will also temporarily lay off about 3,200 people at different site ."
neutral,during the rally which wa authorized by the city administration a consulate official came out to the worker spoke to them and took a letter from them .
neutral,efore ha decided to establish a company for eletric vehicle ( ev ) business in china .
neutral,elcoteq dongguan wa established in 1999 in the nancheng district of dongguan china and is one of elcoteq s four volume manufacturing plant in the asia-pacific region .
neutral,electricity consumption grows with higher frequency .
neutral,elsewhere the tendency is towards more developed packaging than before .
neutral,eriikka s+¦derstr+¦m ha previously held several position in finance and control at nokia network including acting a the business group controller and having the corporate controller position at nokia siemens network .
neutral,estonia agriculture minister helir-valdor seeder is in finland on a two-day visit in the course of which he will meet with his finnish counterpart sirkka-liisa anttila .
positive,etteplan target to employ at least 20 people in borl+ænge .
neutral,eur 220 million of the transaction consideration wa paid in the form of four-year interest-bearing vendor note .
neutral,feed company suomen rehu and raisio do no import gmo feed .
neutral,financial detail were n't disclosed .
neutral,financial term were n't disclosed .
neutral,finland technopolis is planning to bring the first section of a technopark on stream in st. petersburg at the end of 2008 kari mikkonen vice president of technopolis told reporter in helsinki .
neutral,finland-based company l+ænnen tehtaat and raisio have decided to dissolve the joint venture company zao scandic feed which wa established to start local animal feed business and feed production in northwest russia .
neutral,finnish cargo handling solution company cargotec oyj said on june 17 2008 that it will acquire new zealand tailgate distributor zepro tailgate ( 1987 ) limited for an undisclosed sum .
neutral,finnish drug distributor and wholesaler oriola-kd oyj said on october 11 2006 it named anne kariniemi vice president of it logistics and sourcing department a of january 15 2007 .
neutral,finnish electronics contract maker incap oyj said on january 3 2008 it sold it manufacturing facility in helsinki to local real estate company sponda oyj for 5.3 mln euro ( $ 7.8 mln ) .
neutral,finnish fibre-based material maker ahlstrom corp ( hel : ahl1v ) said today it decided to close down it spunlace composite production line number 23 at chirnside plant in the uk by the end of march 2011 .
neutral,finnish investment company neomarkka is the main owner of kuitu finland successor .
neutral,finnish investor scanfil oyj ( hel : scf1v ) said last friday it ha bought 57 million share or 32.96 in norwegian contract electronics manufacturer kitron asa ( osl : kit ) for nok 143.9 million ( usd 24.4 m-eur 18.1 m ) .
neutral,finnish plastic pipe maker uponor is selling it irish and uk infrastructure business to private equity company 3i .
neutral,finnish property investor sponda said it ha agreed a 100 mln eur five-year mln credit facility with swedbank and a 50 mln eur seven-year facility with oko bank .
neutral,finnish publisher alma medium ( hel : aln1v ) said wednesday it ha decided to further extend it eur1 .85 ( usd2 .75 ) apiece mandatory tender offer for medium group talentum ( hel : ttm1v ) which started on 19 august until 16 november .
neutral,finnish real estate company sponda oyj said on april 11 2008 it would build vuosaari harbour service center at the port of helsinki .
neutral,finnlines said that the deal is part of it strategy to focus on it core business .
neutral,"first industrial will seek leed designation for uponor new building and a 282,000 square-foot speculative distribution center at first park lakeville ."
neutral,following the move stora enso holding in newpage will remain unchanged .
neutral,for the new share subscribed with stock option all shareholder right commence from the date on which they are entered into the trade register .
neutral,fortum expects it annual capital expenditure in the next four to five year to be within a range of eur 0.8-1 .2 billion a earlier announced .
neutral,fortum had intended to spend a much a ( euro ) 2.7 bn to become the sole owner of tgk-10 .
neutral,fortum hold 90.2 pct of the share capital and 94.4 pct of the voting right in the company which it now plan to delist from the warsaw stock exchange .
neutral,from business line may 16 2008 sriperumbudur may 15 - nokia two key supplier - aspocomp and wintek - are likely to start operation within three month in the nokia telecom park at sriperumbudur 45 km west off chennai .
neutral,f-secure internet security 2010 is a security service for surfing the web online banking and shopping e-mail and other online activity .
neutral,f-secure reported that : - the first half of 2008 ha seen a growing number of targeted malware attack on individual company and organization .
positive,furthermore novator finland oy ha entered into a security lending agreement whereby novator finland oy will hold directly the same amount of share that are underlying of the omx market forward from may 23 through may 26 2008 .
neutral,gearing wa 43 compared to 67 in 2004 .
neutral,geneva feb. 10 tero aaltonen finland ha developed a radio resource control method .
neutral,germany innovational center are united in focusing at company which aim at use of technology and development of new kind of activity through supporting the beginner company with the entire spectrum of their service .
neutral,glaston own glass processing unit tamglass glass processing is a manufacturer of high quality safety glass product and operates in finland .
neutral,glaston own glass processing unit tamglass glass processing is a manufacturer of high quality safety glass product operating in finland .
neutral,global market direct pohjola bank plc - financial analysis review is an in-depth business financial analysis of pohjola bank plc . .
negative,gsk announced in november 2008 that it would close it operation in dartford .
neutral,he is a chartered accountant in british columbia and alberta a well a a certified public accountant in washington state .
neutral,he joined rautakirja in 1997 to lead one of it four business area and took up the position of president and ceo in 2001 .
neutral,headline of release dated march 26 2008 should read : acacia subsidiary enters into settlement agreement for rule based monitoring technology with f-secure ( sted acacia technology license rule based monitoring technology to f-secure ) .
positive,helsinki finland sept. 18 2009 ( globe newswire ) ixonos plc expands the company smartphone r & d service and establishes a new next-generation smartphone design unit in connection with ixonos site in jyvaeskylae .
neutral,helsinki 19 may 2010 - finnish company lemminkainen oyj ( hel : lem1s ) said today that it will construct an office building at toolonlahti in downtown helsinki without disclosing financial detail .
neutral,her present position is the director of stockmann international department store .
neutral,"honkarakenne also decided yesterday to sell 88,500 of it b series share to key staff member for eur2 .9 per share ."
neutral,hu will offer a further discount of between 25 and 50 on selected book .
neutral,if needed she provides also further information on ferry connection and hotel .
neutral,igor and oleg yankov who currently manage moron and vitim will hold onto the 25 stake for now .
neutral,in 2007 talentum will disclose three interim report - q1 ( january - march ) on friday 27 april 2007 - q2 ( april - june ) on friday 20 july 2007 - q3 ( july - september ) on friday 26 october 2007 .
negative,in addition a further 29 employee can be laid off until further notice and the whole workforce can be laid off for short period if needed .
neutral,in addition mids are always online and enable full internet browsing .
positive,in addition the deal includes a call option which will enable maritim food a to increase it holding in sandanger a to 51 in the future .
neutral,in connection with the deal digia will employ 19 person from nokia in oslo and in silicon valley in the usa .
neutral,in his current position manty ha worked since 1996 .
neutral,in the meantime the ceo duty will be assumed by outotec deputy ceo seppo rantakari .
neutral,in the sinter plant limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnace a a raw material for iron-making .
neutral,in this way the industry starting point ha been the consumer need .
neutral,in total more than 3000 surveillance camera will be handled and managed according to a variety of need the company said .
neutral,in volume the focus is already outside finland a 60 of the group product are made in poland and the baltic country .
neutral,"indigo and somoncom serve 377,000 subscriber and had a market share of approximately 27 a of may 2007 ."
neutral,industry in asia + pakistan malaysia taiwan and philippine today global research & data service is going to publish several market analysis about the cement market in asia .
neutral,intellisync wireless email from nokia is a full-featured wireless e-mail solution that connects user to their e-mail calendar contact note and task list while away from the office according to the company .
neutral,investment management and investment advisory service are the company sole line of business .
neutral,investment are not disclosed .
neutral,investment in product development stood at 6.0 mln euro ( $ 8.8 mln ) .
neutral,ism doe not disclose it financial result the daily said .
positive,"it currently employ about 750 people and expects headcount to reach 1,000 by end of 2007 ."
neutral,it is also set to launch a messaging service in the next few day which would enable user to access their e-mail account on m exchange .
neutral,it is estonia second-largest meat processing company by market share ( according to ac nielsen 2008 data 13 percent ) .
positive,it rose by 15.7 and by 24.8 in finland and abroad respectively to eur 7 million and eur 4.2 million due to a 40 growth in russia .
neutral,it not .
neutral,it wa decided that the auditor are reimbursed according to invoice .
neutral,it will report full-year result on august 22 .
neutral,"it annual capacity is some 10,000 mw ."
positive,it main business area the glass machinery group of glaston technology is the global market leader in glass processing machine .
neutral,it market share is 6 percent according to ac nielsen 2008 data .
neutral,janis arbidans ceo of yit celtnieciba said the company wa focusing on housing and real estate development market .
neutral,jeder beta-tester erh+ælt kostenlos sechs monate lang update und hat laut eigener aussage die m+¦glichkeit die finale version zu beeinflussen .
neutral,jon risfelt ha previously held operational executive position in europolitan ericsson sa american express card and travel division a well a nyman & schultz ( ceo ) vodafone sweden ( ceo ) and gambro renal product ( ceo ) .
neutral,karppinen expects the consolidation trend to continue in the finnish market .
positive,kaupthing forecast a significant price increase for printing paper in 2007 .
neutral,kaupthing forecast that finnish-swedish stora enso will close it mill in reisholz in germany .
neutral,kemira share closed at ( x20ac ) 16.66 ( $ 22us .71 ) .
neutral,"kesko ha about 2,000 store engaged in chain operation in the nordic and baltic country russia and belarus ."
neutral,kirsi rantanen wa previously development director for hk ruokatalo poultry business .
neutral,koduextra is operating a retail chain of 11 store controlled by finnish non-food center ky rukax oy and scan-tukka oy .
neutral,koff market share of the volume of the market wa 23.4 karhu 21.4 .
neutral,last year the firm also acquired realprojekti oy a real estate development company to advise capman on it property activity .
neutral,later on about 150 finnish-made house will be build in the area .
neutral,lemmink+æinen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .
neutral,like all other mechanical pipettors from biohit also proline plus is ce-ivd marked and come with a 3-year warranty .
neutral,london ( afx ) - intertek group plc a testing and inspection company said it commercial and electrical division ha bought finland-based company natlabs oy from etteplan oyj for 1.3 mln eur in cash .
neutral,loudeye corp. up $ 2.56 at $ 4.33 nokia corp. down 10 cent at $ 19.46 nokia agreed to buy the digital music distributor for $ 60 million .
neutral,( adp news ) - dec 11 2008 - finnish power-supply solution provider efore oyj ( omx : efo1v ) said yesterday it opened a technology research and development ( r & d ) laboratory at helsinki university of technology .
positive,( adp news ) - nov 28 2008 - finnish power-supply solution provider efore oyj ( omx : efo1v ) announced today the launch of opus dc the latest power system in it opus product line .
positive,( adp news ) - nov 3 2008 - finnish cargo handling system and service company cargotec oyj ( omx : cgcbv ) said today that it acquired 80 stake in italian service company cv technoports srl and cv service srl from italian handli
neutral,( adp news ) - nov 3 2008 - finnish paper packaging and forest product company stora enso oyj ( omx : sterv ) said today that it would invest eur 137 million ( usd 176.6 m ) in the building of a power plant at it ostroleka mi
neutral,luna took fifth place on six-under 207 a shot behind spain beatriz recari and germany martina eberl while welsh player becky brewerton wa the highest-placed british finisher sharing seventh place on three-under 210 after shooting 71 .
neutral,maggie ramsey wait - and those of thousand of oregon and washington guide angler and others who flock to his frequent seminar - is nearly over .
neutral,manavigator-november 1 2010-deal snapshot : swedish peab buy equipment rental firm cramo swedish construction company peab ab ( sto : peab b ) announced the acquisition of equipment rental company cramo entreprenadmaskiner ab from finnish group cramo oyj ( hel : cra1v ) .
neutral,marathon now ha a 4.6 percent stake in plx it said according to bloomberg .
neutral,market data and analytics are derived from primary and secondary research .
positive,martela said plan to expand it recycled furniture business elsewhere in finland too .
neutral,may 29 2010 ( companiesandmarkets.com delivered by newstex ) this report provides key data and information on the meat fish and poultry market in finland .
neutral,meanwhile alfa owns 25.1 of megafon through altimo and 4.99 of turkcell via an 18.5 stake in cukurova holding .
neutral,mercator will use the software for it logistic retail and wholesale operation in slovenia and it other market in southeastern europe .
neutral,metsa-botnia will sell 82.1 of it stake in the uruguayan company and metsaliitto 5.5 .
negative,metso foundry jyvaskyla inc. will begin personnel negotiation on temporary lay-offs and personnel reduction in jyvaskyla finland .
neutral,metso foundry jyvaskyla oy will discontinue production on this line by 30 september 2008 the company said .
neutral,metso foundry jyvaskyla oy will discontinue production on this line by 30 september 2008 .
positive,microsoft also churned up it courtship agreeing to use the navteq mapping service which is offered by a company nokia bought for $ 8.1 billion a few year ago .
neutral,"more than 50,000 tonne of asphalt mix will be used in the contract ."
neutral,m-real corporation stock exchange release 27 august 2009 at 3.15 pm m-real ha received the eur 190 million cash payment from sappi m-real corporation a part of mets+æliitto group divested it graphic paper business to sappi limited at the end of 2008 for eur 750 million .
neutral,n +1 group will pay eur16 .5 m of the transaction price upon closing and the remaining sum in 2012 .
negative,national conciliator juhani salonius who met both party on wednesday said they were too far apart in their view for him to propose mediation .
neutral,nd = not disclosed .
neutral,negotiation with representative of the personnel regarding the restructuring process have now been ended .
neutral,neither of the company use genetically engineered soy at the moment .
neutral,neste oil will publish it third quarter 2008 result on friday 24 october 2008 at approximately 9 am ( eet ) .
neutral,new delhi feb. 12 korteniemi anneli helokunnas tuija peltola marjo keskinen jukka salminen jussi tusa kia and janhonen risto of nokia telecommunication oy espoo finland have developed cable adjustment device .
neutral,new novator product are supposed to be exported .
positive,new product launch in finland will more than double from 2005 .
neutral,niina nenonen marimekko current director for clothing bag and accessory line will take up this role .
neutral,no change in medium activity were seen in october compared with september .
neutral,no decision on such sale of the now issued or existing treasury share to ya global ha been made yet .
neutral,no financial detail were revealed .
neutral,no financial information wa provided .
neutral,no other ev3 device were involved in this action .
neutral,nokia is also negotiating the product portfolio of the new company .
neutral,nordea chairman of the board han dalborg ha informed the nomination committee that he will not be up for re-election at the annual general meeting in 2011 .
neutral,nordstjernan will make the offer in approximately one month in september 2007 .
neutral,odell ha not contacted the state of finland in this issue .
neutral,"okhta center area is expected to have about 700,000 square metre of office premise by 2016 ."
neutral,okmetic ha used the furnace for the contract manufacturing of solar crystal .
neutral,on 25 august 2009 sampo stake in nordea wa 19.45 .
positive,on the other hand montevideo said that having the two mill working in the area will generate job .
neutral,one price category is for call on the preferred operator network and another for call on other operator network .
neutral,operator only need to learn how to use one device for multiple level of application including voice-directed operation .
neutral,originally posted to the pcmag.com security blog security watch .
neutral,oriola-kd is a spin-off of finnish pharmaceutical group orion oyj wholesale division .
neutral,other north-rhine westphalia - is to issue a benchmark 5 year fixed rate deal in euro .
neutral,other detail were not provided .
neutral,our objective is to yield a significant part of our turnover in russia in a couple of year say solteq managing director hannu ahola .
neutral,pa ) jpmorgan chase and co ( nyse : jpm ) and pohjoa bank are joint lead-managers on the senior unsecured deal .
neutral,panostaja did not disclose the purchase price .
neutral,pharmaceutical market in belgium global research & data service published recently a market analysis about the pharmaceutical market in belgium .
neutral,pharmaceutical market in poland global research & data service published recently a market analysis about the pharmaceutical market in poland .
neutral,pohjola and cooperative bank have continued to combine their branch office network .
neutral,pohjola will act a the manager of the issue and the bond will be listed on nasdaq omx helsinki ltd. .
neutral,ponsse will divide it sale and maintenance service network into six geographical area .
neutral,poyry plccompany announcement 10 december 2010 at 4.10 p.m. pursuant to poyry plc stock option program 2004 63 792 new share of the company have been subscribed since 27 october 2010 with stock option 2004b .
neutral,previously grimaldi held a 46.43 pct stake in the finnish company following the takeover bid launched in november 2006 .
neutral,price talk is in the mid-market swap plus 105 bps area and the lead are barclays bnpp ubs and cba .
neutral,prior to the transaction whose financial term have not been disclosed alma medium owned 40 of kotikokki net .
neutral,production facility 6 july 2010 - finnish investment group neomarkka oyj ( hel : nembv ) said today that it will buy the former production facility of kuitu finland ltd a part of negotiation on the option to invest in specialty cellulose fiber business .
neutral,product include consumer electronics device such a mobile phone and their accessory set-top box flat panel tv a well a system solution product such a infrastructure system module and other industrial segment product .
neutral,proha plc ( euronext :7327 ) announced today ( 19 may ) that it fully-owned subsidiary safran software solution a ha agreed to sell it 49 share of safran north america llc to a sna holding a an investment group based in norway .
neutral,proha plc ( euronext :7327 ) announced today ( 19 may ) that it fully-owned subsidiary safran software solution a ha agreed to sell it 49 share of safran north america llc to a sna holding a an investment group based in norway .
neutral,protalix closed at $ 10.71 on friday on the american stock exchange giving a market cap of $ 827 million .
neutral,r & d loan ) .
neutral,raisio is the site of the main production plant a well a company headquarters .
neutral,rautalinko wa resposnible also for mobility service and his job in this division will be continued by marek hintze .
neutral,recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .
neutral,retail chain suomen l+æhikauppa wa given the index 5.8 airline sa 5.8 teliasonera broadband 6.1 german retail chain lidl 6.1 tele finland mobile subscription 6.1 tallink shipping line 6.3 and power company helsinki energy 6.3 .
neutral,rl-nordic is a part of raiffeisen-banking-group austria and is a subsidiary to raiffeisen-leasing gmbh in austria .
neutral,rockwell collins is a provider of flight deck cabin and information management solution for business aircraft operator .
neutral,s business sector are building construction infrastructure construction and technical building service .
neutral,salcomp manufacturing oy will pay eur 35 million in cash to salcomp in connection with the implementation of the sale and transfer of the business .
neutral,sampo plc jarmo salonen head of investor relation and group communication tel . +358 10 516 0030 distribution : nasdaq omx helsinki the principal medium financial supervisory authority www.sampo.com this announcement is distributed by thomson reuters on behalf of thomson reuters client .
neutral,san francisco ( marketwatch ) nokia corp the world largest cell-phone maker is using the consumer electronics show in la vega to introduce a high-end thin folding phone according to a medium report monday .
neutral,scanfil plc is a global contract manufacturer and system supplier for communication and industrial electronics .
neutral,schwalm ( at ) outotec.com eila paatela vice president - corporate communication tel . +358 20 529 2004 mobile +358 400 817198 e-mail eila .
neutral,sdm offer general rental equipment aluminium scaffolding power generator and hoist to customer in the construction sector .
positive,service supplier efore plc to streamline operation in finland and the u finnish electronic system and service supplier efore plc ( omx helsinki : efo1v ) said on tuesday ( 3 february ) that it ha initiated statutory negotiation regarding a streamlining of it operation in finland .
neutral,simultaneously alma medium ha purchased a 35 share of arena interactive a subsidiary of arena partner with a focus on mobile solution development .
neutral,simultaneously with this merger plan another merger plan ha been signed according to which suomen projektivuokraus oy a subsidiary of vtm-rakennuskonevuokraamo oy would be merged with vtm-rakennuskonevuokraamo oy .
neutral,"some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new ixonos share ."
neutral,some of the lay-offs will be implemented using part-time employment contract .
neutral,sonoco product co. a u.s. packaging company said friday it bought the 75 percent of italy demolli industria cartaria spa it did not already own .
positive,st. petersburg oct 14 ( prime-tass ) finnish tire producer nokian tyre plan to invest about 50 million euro in the expansion of it tire plant in the city of vsevolozhsk in russia leningrad region in 2011 the company president kim gran told reporter thursday .
neutral,stichting pensioenfonds abp : 4 118 122 share representing 5.19 of the share capital and voting right .
neutral,stockholm 3 march 2011 about cybercom the cybercom group is a high-tech consultancy that offer global sourcing for end-to-end solution .
positive,stockmann and swedish sector company ab lindex entered into an agreement on september 30 2007 whereby stockmann or a wholly-owned subsidiary of it will make a public tender offer for all of lindex issued share .
neutral,stora enso ha also had meeting with the labor authority employment and economic development centre and representative of the government in order to find solution .
negative,stora enso oyj the largest papermaker in october said it would close four mill .
neutral,subscriber of china unicom the nation second largest mobile phone operator after china mobile are expected to release picture video and blog on the internet via mobile phone a of march 2008 .
neutral,swiss bank credit suisse international will act a an investor in the locomotive manufacturing plant the astana administration said .
neutral,talvivaara mining company plc ( talvivaara mining ) ( lse : talv ) a finland-based nickel mining business ha installed it second production line at it metal recovery plant on june 9 2010 .
neutral,talvivaara mining company plc talvivaara mining company is an internationally significant base metal producer with it primary focus on nickel and zinc using a technology known a bioheapleaching to extract metal out of ore .
neutral,tampere science park is a finnish company that owns lease and build office property and it specialises in facility for technology-oriented business .
neutral,technopolis ha approximately 130 customer company in jyvaskyla .
neutral,tecnomen solution can be used for prepaid and post-paid billing for charging and rating of voice and video call data traffic and any kind of content service in both mobile and fixed network .
neutral,tecnomen system feature a new range of value-added service for prepaid and post-paid billing charging and rating of voice call data traffic or any kind of content service in both mobile and fixed network .
neutral,teliasonera s subsidiary the mobile operator emt in estonia ha created a world s first mobile identification service which make it possible to vote via a mobile phone .
positive,teliasonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 of nepal s population .
negative,temporary lay-offs affecting the entire workforce will also be implemented .
neutral,term of the acquisition were not disclosed .
neutral,term were not disclosed .
neutral,thanks to the development of a system that enables it to trace the origin of all the palm oil that it us it know exactly where and how it palm oil ha been produced .
neutral,"the 19,200-square metre technology center is located near university of tampere in central tampere ."
neutral,"the 5,000 megawatt wind farm being planned in raahe would be built offshore in front of ruukki raahe work ."
neutral,"the acquired plant ha an annual capacity of some 300,000 tonne and most of it production is sold to domestic customer ."
neutral,the acquisition is expected to take place by the end of august 2007 .
neutral,the acquisition of avc systemhaus and the majority stake in cableway will increase the number of teleste personnel by 250 .
neutral,the annual report contains the financial statement the consolidated financial statement the report by the board of director and the auditor report .
neutral,"the annual report will be sent automatically to shareholder holding at least 2,000 sampo plc share ."
neutral,the apple inc. iphone wo n't change the game plan for verizon communication inc. chief executive ivan seidenberg said wednesday .
neutral,the arrangement do not apply to the group unit outside finland .
neutral,the bank of +_land acquired the private banking business asset management and share brokerage business of kaupthing sweden in early 2009 .
neutral,the bank vtb24 provides mortgage loan to buy apartment in the complex at 11-13 per annum in ruble .
neutral,the bond ha a value of eur150m and a maturity of 4 year .
neutral,the bridge will be built to the south of the existing bridge spanning the strait .
neutral,the business goal for 2009 will realize with the temporary lay-offs carried out in the summer of 2009 and with other saving measure .
neutral,the business unit of the investlesprom group cover the full forest industry chain and the group owns forest sawmill paper and pulp mill and other processing plant .
neutral,the business to be divested offer dairy edible fat ready-meal and ice-cream packaging to multinational and local customer .
neutral,the casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment at least the first side casing member being pivotable about a rotation axis .
neutral,the change will take effect on 1 january 2010 and they are not estimated to have an impact on the number of employee .
neutral,the city will invite however a public procurement tender for the tailor-made public furniture such a park bench litter receptacle public toilet a well a bus shelter street light and other .
neutral,the combined value of the order is eur 45mn .
neutral,the company aim to close the deal before the end of the year .
neutral,the company also said that it will sell approximately 150 hectare of land to the city of valkeakoski by the end of the year a part of it from job to job program .
neutral,the company can not give up palm oil altogether however .
neutral,the company did not disclose the price of the acquisition .
neutral,the company doe not at present hold any of it own share .
neutral,the company expects meat purchase to remain at about 8mn kilo in 2011 .
neutral,the company expects to open it first online shop in the u in the summer in 2011 .
neutral,the company ha decided to stop the operation of ruukki construction division in latvia and lithuania and concentrate the production and logistics in parnu estonia in 2009 .
neutral,the company is headquartered in sievi finland and is listed on the nordic exchange in helsinki .
neutral,the company operates power plant in the tyumen and chelyabinsk region and in the khanty-mansi autonomous district .
neutral,"the company operates worldwide and employ in total approximately 47,000 person ."
neutral,the company reiterates it outlook for 2009 .
neutral,the company board of director will propose a dividend of eur 0.95 per share for 2008 at the annual general meeting scheduled to be held on march 23 2009 .
neutral,the company board of director would propose a dividend of eur0 .15 per share for 2005 .
neutral,the company board of director would propose a dividend of eur1 .00 per share for 2005 .
neutral,the company equipment rental portfolio consists primarily of tool for small and mid-sized customer in the construction industry .
