Category,description
neutral,"ahlstrom 5,700 employee serve customer via sale office and production facility in more than 20 country on six continent ."
neutral,raute headquartered in nastola finland is a technology company serving the wood product industry worldwide .
neutral,atrium will also buy the share of kauhajoen teurastamokiinteistot oy ( kauhajoki slaughterhouse property ) from itikka co-operative .
neutral,"the joint venture will invest about eur 500,000 in production technology straight away ."
neutral,he will report to capman plc ceo heikki westerlund .
neutral,the price will be specified at the completion date .
neutral,a total of $ 78 million will be invested in the project .
neutral,finnish it consultancy satama interactive oyj said on november 13 2006 that jarmo lonnfors took up the position of ceo .
neutral,we could be there .
neutral,15 november 2010 - finnish energy company fortum oyj hel : fum1v said today it and partner started negotiation to establish a new operating model for energy supply in the turku region of western finland .
neutral,a spokesman said : the food store center subject to council and local support could comprise a supermarket or smaller store and other niche outlet and this will be firmed up following consultation with the council and local community regarding appropriate us and occupier .
neutral,about 36 of this came from aspo chemical 39 from aspo shipping and 25 from aspo system .
neutral,aker yard finland will begin using chinese subcontractor at it finnish shipyard .
neutral,finnish food industry company l+ænnen tehtaat is planning change to it fish product business .
neutral,finnish property investment company citycon plan to issue directed subordinated convertible bond to institutional investor .
neutral,according to ceo hannu syrj+ænen a new common name and visual identity is required a the group ha grown and internationalised .
neutral,according to the finnish-russian chamber of commerce all the major construction company of finland are operating in russia .
neutral,ahlstrom share is quoted on the nasdaq omx helsinki .
neutral,almost the entire office building will be occupied by metso .
neutral,also the development of online business will continue .
neutral,a an alternative to the share exchange panostaja offer a full cash consideration at the value of 1.27 euro $ 1.7 per share .
neutral,at 9:00 eet alma medium annual report for 2009 is scheduled to be published in calendar week 9 .
neutral,at first solteq service to company operating in the st. petersburg area will include maintenance and material management system and data collection solution .
neutral,basware einvoices oy will be merged into the parent company during the present fiscal period .
negative,benefon target is to lay off temporarily of permanently up to 20 of the salo plant staff .
neutral,componenta is a metal sector company with international operation and production plant located in finland the netherlands sweden and turkey .
neutral,copyright afx news and afx financial news logo are registered trademark of afx news limited
neutral,cramo headquartered in vantaa finland rent construction machinery and equipment a well a rent and sell modular space .
neutral,earnings per share were eur -0.04 -0.06 .
neutral,erkki jarvinen president of rautakirja and the head of the sanoma trade division will leave his current task in spring 2009 for a similar position outside the sanoma group .
neutral,exel is headquartered in mantyharju in finland .
neutral,financial statement include the consolidated financial statement of the group the board of director report the auditor report and the corporate governance statement .
positive,finnish food company raisio oyj hel : raivv said today it will buy british snack and confectionery company big bear group plc for an enterprise value of eur 95.3 million usd 129.9 m .
neutral,finnish industrial group ruukki group plc omx helsinki : rug1v said on friday 14 november that it furniture business segment incap furniture ha concluded personnel negotiation that were started at the end of september .
neutral,finnish sampo-rosenlew manufacture approximately seven forest machine monthly and about half of machine are exported .
neutral,following the issue the new share will constitute 10 percent of the firm capital .
neutral,for the purpose of the possible acquisition pkc would establish a subsidiary in poland .
neutral,"geosentric is acquiring extra financing by issuing a maximum of 220,000 new share and a convertible bond with subscription right for 880,000 share which have been fully subscribed ."
neutral,helsinki afx - cargotec said it ha bought a 95 pct stake in indital construction machinery ltd a bangalore-based company that make fork lift truck and mobile crane for an undisclosed sum .
neutral,however the offering will probably not be made at the current valuation which partly derives from the deal in which the company wa merged into a stock market shell .
neutral,in addition nine fixed-term employment contract will not be extended and two people will leave the company under pension arrangement .
neutral,in addition the existing service counter area in the reception hall will be rebuilt and access provided to local rail connection .
neutral,in addition to the tulikivi corporation he is also currently a member of the board of the following company : altia corporation j+ærvi-suomen portti osuuskunta osuuskunta kpy profile vehicle oy and voimatel oy .
neutral,iso omena is based in the matinkyla district of the southern part of the city of espoo southern finland .
positive,ixonos estimate that it will hire 20 specialist in mechanical engineering electronics design and r & d for it new unit in jyvaeskylae by the end of 2009 .
neutral,jensen njastein and mike critch the head of dovre north america business unit will report to toivola .
neutral,china unicom nyse : chu hkse : 0762 and shse : 600050 the second largest mobile carrier in the country .
neutral,metso delivery will include a complete coated board line with related air system and two winder .
neutral,mr bakman see also expansion option on the tallinn-helisnki link claiming however that operating the link with only a single ship is not enough .
neutral,m-real said there are no ground for the rumor which have been circulating in the market for some month .
neutral,no financial detail were reported .
neutral,our customer come from the following country : uk usa spain france italy germany china hong kong sweden norway netherlands austria belgium switzerland czech republic finland canada russia ukraine denmark ireland south korea and liechtenstein .
neutral,particular attention is being paid to energy efficiency in the construction of the building a it is designed to meet the requirement of energy class b and leed certification will be applied for .
neutral,payment of share shall be effected on subscription .
neutral,price talk is in the euribor plus 2 bps area and the sole lead is citigroup .
neutral,public service will also be available .
neutral,rosendal at outotec.com eila paatela vice president - corporate communication tel . +358 20 529 2004 +358 400 817198 e-mail eila .
neutral,runway visual range is a calculated assessment of the distance that a pilot can see down a runway .
neutral,salcomp charger manufacturing plant in india is located in the nokia telecom park in the state of tamil nadu in the eastern part of india .
neutral,saunalahti is a part of the elisa group .
neutral,ssh communication security corporation is headquartered in helsinki finland .
neutral,teleste bk optiflex amplifier product will be used in ongoing capacity upgrade of kdg network to bi-directionality .
neutral,teleste ha some 30 office worldwide and is listed on the nordic exchange in helsinki .
neutral,the board of director wa authorized to decide on other term of the share issue .
neutral,the business area ha operation in finland sweden denmark estonia latvia and lithuania .
neutral,the buyer is real estate owner propertos oy but the company have agreed not to disclose financial detail of the deal .
neutral,the chain is to unite 45-50 centre by the end of 2008 .
neutral,the company operates it business through two reportable segment including banking and investment service and non-life insurance .
neutral,the company board of director will propose a dividend of eur 0.14 for 2008 at the annual general meeting .
neutral,the company share is quoted on nasdaq omx helsinki rautaruukki oyj : rtrks .
positive,the company said that it ha started to investigate streamlining it operation in order to meet the tightening competition on the mobile phone charger market .
neutral,the company then said it will focus it resource on clinical research .
neutral,the company website is www.ahlstrom.com .
neutral,the company will use the money for product development and research activity through 2013 in it key market finland germany italy and france .
neutral,the contract includes heating plant equipment and associated installation work .
neutral,the contract comprise turnkey order for roro system for two roro-cruise vessel under construction for viking line and tallink .
neutral,the crane would be installed onboard two freighter ordered by singaporean ship owner masterbulk .
neutral,the deal will have no significant effect on the acquiring company equity ratio .
neutral,the development of the technological park which will specialize in telecommunication and information technology is part of the state program for the formation of technoparks for hi-tech sector in russia .
neutral,"the finnish company is building a 800,000 mt-year biodiesel plant in singapore ."
neutral,the first group of customer to be trained will be paint-shop owner and their assistant .
neutral,the following information wa released by comptel : tomorrow the chairman of the federal communication commission is scheduled to deliver the national broadband plan to congress .
neutral,the front surface of these valve plate are directed towards each other .
neutral,the increase range will vary up to 10 .
neutral,the initial estimated total value wa 1744900 eur and the final award value wa 1744900 eur .
neutral,the internal revenue service see about 20 percent of all taxpayer wait until the last two week to file with about 40 million return filed in april .
neutral,the latest date for registration is on 4 april 2006 .
negative,the majority of the company personnel in finland is temporarily laid off from one to six week in the period from february to june 2009 period .
neutral,the mall will be financed on a parity basis by pearl plaza llc the joint venture company established by the chinese investor shanghai industrial investment holding co ltd and srv group .
neutral,"the maximum amount of the capital loan will be eur30m and the minimum subscription eur10 ,000 ."
neutral,the maximum number of new share to be offered is 22 million .
neutral,the measure taken will cause one-time cost during the final part of 2006 .
neutral,the natural source of isoprene is the tree specie hevea brasiliensis also known a the rubber tree .
neutral,the new company will likely hold an ipo on the nyse or another international stock exchange according to altimo which manages the alfa group telecommunication asset and teliasonera agreement which ha been published on the website of the u.s. security and exchange commission .
neutral,the new sepa cad will replace finnish bank card .
neutral,the order comprises all production line for a plywood mill company said in a statement received by lesprom network .
neutral,the order comprises four ball mill which will be organized in two different stream for treating ore in the pilanesberg platinum mine .
neutral,the party have agreed not to disclose the price of the deal the group said in a press release .
neutral,the party have agreed not to disclose the transaction value .
neutral,the plan will result in the introduction of new and highly specialized manufacturing method and also entail change to personnel at the facility .
neutral,the platform is based built on intel s second-generation mid platform called moorestown .
neutral,the sale of savcor face to cencorp will result in a profit or loss which can not yet be determined owing to factor including the valuation of the consideration share to be received and prevailing exchange rate .
neutral,the share subscribed for under the stock option were registered in the trade register on 20 january 2011 a of which date the new share will establish shareholder right .
neutral,the ship crane which will be manufactured by macgregor partner plant in china will be delivered between 2008-2010 for vessel ordered by chinese cosco german peter dohle and hong kong based cido shipping .
neutral,the ship unloader is totally enclosed along the entire conveying line to the storage facility .
neutral,the site will cover over six hectare .
neutral,their offering also cover localisation service related to production transfer to the finnish company customer that already have production in asian market or have made the decision to transfer production there .
neutral,this is the company first contract abroad .
neutral,this solution is an extension to the existing online mediation solution delivered earlier by comptel and ibm .
neutral,two other site will be included later on .
neutral,"under a preliminary estimation the technology park will measure about 50,000 square meter ."
neutral,under the change envisaged hk ruokatalo would reduce it number of industrial place of business in finland from eight to six .
neutral,w+ærtsil+æ aim is to serve the rapidly growing number of vessel and increasing marine activity in the barents sea region .
neutral,we know that it exists artemyev said .
neutral,we offer our customer solution based on renewable raw material .
neutral,when dialing in the participant should quote 877417 a conference id .
neutral,work on the assignment ha already started and is due for completion in spring 2011 .
neutral,yesterday legrand issued it e300 million fixed rate deal maturing 2017 .
neutral,zao yit moskovia build housing in moscow and it surrounding city .
neutral,it wo n't happen overnight .
neutral,serving customer locally is one of the cornerstone of customer focus for u .
neutral,25 november 2010 - finnish paint and coating company tikkurila oyj ( hel : tik1v ) said today that finnish state-owned investment company solidium oy sold it 14.7 stake in the company for a total of eur98m .
neutral,26 january 2011 - finnish software solution provider basware ( hel : bas1v ) said yesterday it adjusted it strategy and goal for the next four year with focus on international growth mainly via acquisition .
neutral,a merger between upm and finnish-swedish stora enso is not likely either .
neutral,"a total of 38,244 new citycon share with a nominal value of eur 1.35 per share were subscribed on 19 april exercising the a-b-c option based on the company stock option plan 1999 ."
neutral,abn amro capital ha agreed to sell it helsinki-based designer homeware producer iittala oyj to crosstown consumer product group fiskars corp. for eur230 million to eur235 million ( $ 310 million to $ 316 million ) .
neutral,finnish ac drive manufacturer vacon is acquiring the ac drive business of tb wood part of the u group altra holding .
neutral,finnish beverage company olvi is one of the last listed company in finland that ha not yet published it financial result for the second quarter of 2009 .
neutral,finnish power company fortum report 89 of it electricity wa generated without carbon dioxide emission in 2007 .
neutral,finnish stainless steel manufacturer outokumpu in degefors is planning to recruit new engineer in order to meet a retirement wave over the next few year .
neutral,finnish w+ærtsil+æ that provides power solution for the marine and energy market ha opened a service centre in murmansk in russia .
neutral,local government commissioner of +_m+_l kurt svensson say he will contact the management of finnish company componenta to find out if there are any alternative to the company decision to close down it plant in +_m+_l .
negative,scanfil a system supplier and contract manufacturer to the communication sector will give notice to 20 productional employee and temporarily lay off 15 employee at the company plant in sievi in finland .
neutral,swedish engineering consultant firm etteplan is to establish a unit in town borl+ænge by the turn of the month march-april 2008 .
neutral,the finnish investment company sponda is conducting negotiation to acquire the business center dukat palace-2 located in the center of moscow from london & regional property .
neutral,according to l+ænnen tehtaat ceo matti karppinen the company aim to deliver fish product to it customer a day earlier than it currently doe .
neutral,according to olvi the company is already negotiating new agreement .
neutral,according to saarioinen managing director ilkka m+ækel+æ the food industry sector ha a significant excess of production machinery .
neutral,activity range from the development of natural resource to the retailed marketing of finished product .
neutral,after 1 april 2007 cencorp will not have any own employee in the territory .
neutral,after completion of the acquisition poyry oil and gas expertise will cover multi-discipline engineering and consulting service across the complete oil and gas asset lifecycle including deepwater engineering service .
neutral,ahms will also offer hotel and hotel project consultancy management service brand franchise training and sale and marketing service on a pan-india basis .
neutral,aktia forecast finland inflation at 1.1 in 2010 .
neutral,alexandria va. dec. 17 reijo salovaara nastola finland ha developed a veneer cutter .
neutral,alexandria va. march 15 jaakko vilo of turku finland ha developed a panel press .
neutral,alexandria va. may 23 matti harkonen and pentti sipponen both of espoo finland osmo suovaniemi of helsinki finland and tapani tiusanen of vantaa finland have developed a paper web press device .
neutral,also in latvia we act a a partner for bakery customer in both production and product development .
negative,also the city insurance company if p & c insurance ha said it will not pay compensation .
neutral,an acquisition of teliasonera would be france telecom biggest since it 2000 purchase of orange plc for 27.8 billion ( $ 55.1 billion ) and would create the world fourth-largest telecom company behind at & t inc. verizon communication inc. and ntt corp. of japan .
neutral,an earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on intellibis financial performance in 2007 .
neutral,arena partner oy is a development company for electronic business .
neutral,a a condition to the deal savcor alfa ha to have bought photonium and akseli lahtinen inc. business operation prior to the deal .
negative,a a result the company will temporarily lay-off 25 of the whole personnel approximately 270 person at kirkkonummi and nivala factory .
negative,a a result of the negotiation the company will terminate total 5 employment contract .
neutral,at some point it will spread also to iran and iraq .
neutral,at the end of march 2009 the company loan amounted to eur 10.113 mn .
neutral,based on the design of previous handset the nokia e72 and nokia e63 this symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through mail for exchange and ibm lotus note traveler .
neutral,basware finance the acquisition with a bank loan .
neutral,basware invoice processing basware contract matching basware order matching and basware kpi reporting tool are part of the basware enterprise purchase to pay product suite .
neutral,basware invoice processing basware contract matching basware order matching and basware kpi reporting tool are part of the basware enterprise purchase to pay solution suite .
neutral,basware offer full support for all sap version starting from sap 4.5 .
neutral,byline : tim moran cellular phone giant nokia corp. is offering $ 8.1 billion for digital map supplier navteq corp. of chicago .
neutral,capman first real estate fund which had a total investment capacity of ( euro ) 500 million and closed in june 2005 invested in commercial property in the helsinki metropolitan area .
neutral,choose from a giant countdown with red head or rainbow trout or the giant shad rap in perch color .
neutral,closing of such transaction took place today .
neutral,comptel corporation sami ervio president and ceo distribution : nasdaq omx helsinki major medium comptel dynamic os solution enable telecom service provider to deliver service flexibly and charge them effectively .
neutral,country : switzerland sector : pharmaceutical target : synosia therapeutic holding ag buyer : biotie therapy corp deal size in usd : 129.4 m type : corporate acquisition financing : all-stock status : closed
neutral,decision are to be made a quickly a possible .
neutral,delivery is due in the second half of 2011 .
neutral,due to pirkka beer olvi brewery in iisalmi is moving to 7-day 24-hour work shift .
neutral,elcoteq se stock exchange announcement february 4 2009 at 10.00 am ( eet ) elcoteq will publish it financial statement bulletin 2008 on wednesday february 11 at 9.00 am ( eet ) .
neutral,elisa ha commissioned finland poyry telecom oy to conduct a study of reception in some of estonia largest city besides tallinn .
neutral,equipment will be manufactured in vaahto workshop in hollola finland and is scheduled for shipment during the first quarter of 2009 .
neutral,featuring the s60 user interface this 135-gram model also come with a 2.4-inch quarter vga display and 100 megabyte of internal memory expandable through the micro secure digital slot .
neutral,financial strategic and operational factor are considered .
neutral,financial detail were not disclosed .
neutral,financial term were not disclosed .
neutral,finnish construction machinery and equipment rental group cramo oyj said on march 21 2007 it swedish sector subsidiary cramo ab will sell it dutch subsidiary cramo nederland b.v. ( cnl ) to dutch rental and scaffolding company jaston groep b.v. for an undisclosed sum .
neutral,finnish investment group neomarkka oyj ( hel : nembv ) said today that it will buy the former production facility of kuitu finland ltd a part of negotiation on the option to invest in specialty cellulose fiber business .
neutral,"following the registration the share capital of biotie is eur 52,556,678.10 ."
neutral,"foodservice and consumer good market are served by approximately 13,000 people in 54 manufacturing unit and several sale office in 33 country ."
neutral,founded in 1985 quatrocon clientele consists of public sector builder central trading company and major construction firm .
positive,glaston headquartered in tampere finland is a growing international glass technology company .
positive,helsinki ( thomson financial ) - m-real said it will exercise an option to buy a 50mw natural gas power plant and land in kyroskoski finland for around 13 mln eur from kyro oyj .
neutral,her last position in nokia siemens network wa head of business human resource nsn global it .
neutral,her work at netapp included strategically repositioning the brand in the category and a major global relaunch .
neutral,"honkarakenne also decided yesterday to sell 88,500 of it b-series share to key staff member for eur 2.90 per share ."
neutral,image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display .
neutral,implementation of the project will be carried out by the finnish company yit in association with the investment fund evli property investment russia ( epi ) .
neutral,in 2006 452 million tonne co2 of eua ( eu allowance ; emission credit in eu ) wa traded with an underlying market value approx .
neutral,in 2008 the steel industry accounted for 64 percent of the cargo volume transported whereas the energy industry accounted for 28 percent and other industry for 8 percent .
neutral,in a letter to economic affair minister the listed estonian shipping company tallink asks for the approval to be entitled to a 15 cut in port fee in 2010 .
neutral,in a recent interview with the financial time ( ft ) sampo board chairman bjorn wahlroos said if p & c wa certainly for sale and the price had been set at sek 85 billion confirming earlier statement .
neutral,in a release on oct. 28 peab said the two business will continue to be conducted under the brand cliffton and stockholm entreprenad both part of the peab group .
neutral,in addition the contract includes modification of the effluent treatment plant at follum .
neutral,in term of power generation fortum produced 39.3 twh of electricity during the first nine month of 2006 compared with 38.0 twh during the same period in 2005 according to figure released in the group latest financial result .
neutral,in the financial statement for the first quarter of 2010 tikkurila is reported under discontinued operation .
neutral,in the fourth quarter of 2006 oko bank expects the operating environment for banking and investment service to remain similar to that in january-september 2006 .
neutral,incap headquartered in oulu finland is a electronics contract manufacturer with some 750 employee in finland estonia and india .
neutral,incap contract manufacturing is a subsidiary of incap corporation of finland .
neutral,includes company and brand share data by category a well a distribution channel data .
neutral,it also includes the installation of new equipment training and start-up service a well a service work of the shoe press delivered by vaahto in 2001 .
neutral,it ha been agreed with the company board of director that she will be available in an advisory role .
neutral,it is also in the process of taking a seat on capman board - a course which ha the support of capman management .
neutral,it is expected to be online by 2011 .
neutral,it product portfolio comprises harvester forwarders harvester head a well a crane and loader .
positive,job will not be transferred from finland however .
neutral,joint procurement will be later extended to the factory in the baltic country .
neutral,"kaleva kustannus oy ( business id 0187274-0 ) ha according to it notice on 10 august 2009 acquired 4,458,000 alma medium share ."
positive,kesko food ltd press release 04.01.2006 at 13.00 kesko food ltd is launching a major tv campaign to recruit a many a one hundred new k-food retailer .
neutral,l+ænnen tehtaat food division wa reorganised into two strategic business unit apetit frozen food and jam and apetit fish .
neutral,( a spokesperson told wwd to expect a 50-50 mix of clothing and home decor . )
positive,( adpnews ) - nov 9 2009 - four company have agreed to buy for a combined sek 5.9 billion ( usd 854m-eur 571.8 m ) all drug store offered for sale a part of the restructuring of swedish stated-owned pharmacy monopoly apoteket ab t
neutral,( the acquisition sum ha not been disclosed . )
neutral,metso oyj said it ha sold it spreader roll manufacturing business and related asset in the town of nokia southern finland to a group of finnish investor who will operate the business under the name of finbow oy .
neutral,microsoft last week also issued the first patch for the window 7 operating system beta it had released day earlier .
neutral,m-real which is part of finnish paper maker metsaliitto group is due to release it second-quarter report at around 12:00 eet on 5 august 2010 .
neutral,no financial detail were available .
neutral,nordea pankki suomi oyj according to previously announced ha made forward contract on alma medium corporation share .
neutral,nordea wa the cheapest also for a couple in their 30 with debt .
neutral,nordic business report-17 january 2006-efore plc inaugurates new plant in estonia -_ 1998-2006 m2 communication ltd finnish power electronics manufacturer efore plc said on tuesday ( 17 january ) that it wa inaugurating it new plant in parnu estonia .
neutral,number of offer received for this contract is two .
neutral,nwc analysis :
neutral,okmetic revised it 2010 financial outlook based on it order book .
positive,on wednesday he announced that the government would propose granting a licence for two reactor one to be built by fennovoima and the other by tvo .
neutral,one can also apply for job directly from the ipad select which cv to attach and which covering letter is most appropriate for each position .
neutral,outotec is currently delivering a new oil shale processing plant for eesti energia in estonia based on enefit technology which ha been developed jointly by eesti energia and outotec .
neutral,philip wa not available to comment on the report .
neutral,presentation material will be posted on the company website : www.seahawkdrilling.com in the investor relation section on the webcast & presentation tab .
neutral,proline plus is available in both adjustable single and multichannel model and fixed volume single-channel model in volume range from 0.1 micro litre to 10 ml .
neutral,protalix is developing genetically engineered protein from plant cell .
neutral,purchase it for the 12mp snapper if nothing else .
neutral,radiation and today is a full service house expert in radiation and nuclear safety issue .
neutral,rapala vmc corporation ( rapala ) is a finland-based company engaged in the manufacture and distribution of fishing equipment and accessory .
neutral,risto jalo chief executive of dormus print and also owner of the remainder of the company will keep his position after the acquisition .
neutral,sampo housing loan bank a unit of finland sampo bank ha priced it eur1bn ( usd1 .3 bn ) bond at 99.889 reuters reported .
neutral,sanoma magazine international will invite other shareholder holding approximately 15 of the share to sell their share .
neutral,seventy-three of those also have more extensive training in product built on the latest archestra technology such a the wonderware system platform .
positive,singapore in may 2011 1 july 2010 - finnish air carrier finnair oyj ( hel : fia1s ) said today it will open a daily route to singapore on 30 may 2011 a part of it growth strategy in asia .
neutral,so far a is known he did not sell share that he owns personally .
neutral,solidium now hold 5.0 per cent of the share solidium oy ha acquired 5.0 per cent of the share in tieto corporation for approximately eur 58 million .
neutral,sponda is a property investment company specialising in commercial property in the largest city in finland and russia .
neutral,sunrise resource operates in russian near-shore development market through it wholly-owned russian subsidiary and ha 80 of it personnel in russia .
neutral,target company : tieto corporation business identity code : 0101138-5 date of change in holding : 22 january 2010 portion of the share and vote : the current group holding of op-pohjola group central cooperative ( opk ) is 2982 587 share which represents 4.14 of the share and voting right .
neutral,tecnomen headquartered in espoo finland develops messaging and charging solution for telecomms operator and service provider worldwide .
neutral,teollisuuden voima oyj the finnish utility known a tvo said it shortlisted mitsubishi heavy s eu-apwr model along with reactor from areva toshiba corp. ge hitachi nuclear energy and korea hydro & nuclear power co. .
neutral,the acquisition wa financed with $ 2.56 billion of debt arranged by goldman sachs & co. .
neutral,the airline wa targeting travel agent tour operator and travel management company to raise awareness first before targeting consumer he added .
neutral,"the approximately 20,000 dwt vessel ha been ordered from india ."
neutral,the bank of tokyo-mitsubishi ufj ltd acted a agent for the loan .
neutral,the biggest seller in the chain supermarket in finland are organic pirkka tomato carrot egg and meat product .
neutral,the building will house for example respecta oy jyvaskyla premise a well a other company to be announced later say samuel koivisto director of technopolis operation in jyvaskyla .
neutral,the combined value of the order is almost eur 3mn .
neutral,the combined value of the planned investment is about eur 30mn .
neutral,the company distributes hiab product a well a other product .
neutral,the company doe not disclose the sum it applied for .
neutral,"the company intends to launch housing development at the acquired land plot and to construct 50,000-60 ,000 square metre of housing per annum by 2011 ."
neutral,the company may at any time have in it possession one tenth of all it share at the maximum .
neutral,the company model is based on developer contracting construction project and customer focused project management .
neutral,the company serf customer in various industry including process and resource industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy and information technology a well a catering and household .
neutral,the company wa supposed to deliver machinery to a veneer mill in the tomsk region in russia .
neutral,the compnay also said that it would lower the price of development project by about one third compared with last november .
neutral,the contract is for next year .
neutral,the contract between raute corporation and muling kemian wood product co. ltd. which were announced on 3 november 2010 have taken effect .
negative,the contract of the employee 96 of whom are blue-collar worker will be ended between march and august 2011 .
neutral,the cv of the proposed member are available for viewing from 12 march 2008 onwards on the internet at www.sampo.com/ir .
neutral,the energy shot is packed in a 100-millilitre bag with a screw cap .
neutral,the exercise price of the option will be based on safran software solution license and maintenance sale a well a the result of the company .
neutral,the fair value of capman plc own investment on 30 september 2008 amounted to meur 59.8 .
neutral,the financial detail of the transaction were not disclosed .
neutral,the finnish company ha also reached arrangement regarding the working hour and annual holiday .
neutral,the first four of the new shop-in-shops will be opened this spring : on madison avenue in new york a well a in chicago los angeles and san francisco .
neutral,the full-function pc weighs 1.25 kilogram and measure slightly more than two centimeter thin .
neutral,the government ha instead proposed an exchange of the state stake in lmt to teliasonera stake in lattelecom .
neutral,the group said it intends to initiate within this year the process of buyout of minority shareholder of ragutis with the aim of becoming the sole owner of the company .
neutral,the handset maker did not disclose any financial detail .
neutral,the insolvency act regulates the amount of debt that borrower are permitted to write off .
neutral,the intent of the article wa to focus attention on the fact that the development model that china had followed wa very different than the model that india had followed .
neutral,the lay-offs will start gradually and will last from one to six week .
neutral,the major part of the delivery include different ac and cxe amplifier solution and product by dinh telecom a company acquired by teleste last spring .
neutral,the medium-term operative target of the company remain unchanged .
neutral,the new share will provide the shareholder with full shareholder right .
neutral,the new unit should become one of the largest one within the company .
neutral,the notice in it entirety with other proposal from the nomination committee and the board will be published at least four week before 28 april on the company website and in post - och inrikes tidningar and dagens industri .
neutral,the number of magazine and newspaper reader remained unchanged .
neutral,the order are part of a long-term development plan of latvijas finieris .
neutral,"the order consist in total of over 1,600 panel of lift-away weatherdeck hatch cover and they will be delivered for container vessel with capacity ranging from 2,000 to 13,300 teus ."
neutral,the other two seller were the finnish national fund for r & d ( sitra ) and oras invest oy which also sold half of their shareholding leaving them with 3.8 pct and 3.2 pct of the company respectively .
neutral,the party have therefore agreed to leave avena out of the deal .
neutral,the permanent magnet generator and power converter are today the preferred solution in new wind turbine design the company said .
neutral,the plant will collect raw material from the baltic sea region .
neutral,"the plant will go on stream in november 2008 and it estimated daily production will be 120,000 litre of bioethanol ."
neutral,the platen edge in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen and mean are provided to exert and maintain a pressure in the volume defined by the platen the band and the seal .
neutral,"the port facility throughput is 250,000 teus and 7.5 mln ton of general cargo ."
neutral,the power supply dc power system and inverter designed and manufactured by efore and system incorporating them are used in many different application .
neutral,the price of stainless steel also rose in europe .
neutral,the process product order are for the installation of separation-filtration equipment at three natural gas pipeline project in china south america and saudi arabia .
neutral,the product advisory doe not apply to any other nokia-branded battery the company said .
neutral,the project also implies an underground parking lot for 56 vehicle .
neutral,the serial bond is part of the plan to refinance the short-term credit facility .
neutral,"the share capital of biotie therapy corp. constitutes 90,211,860 share in the aggregate and the number of voting right attached to the share amount to 90,211,860 ."
neutral,the share shall be acquired according to the rule of nasdaq omx helsinki and otherwise according to the rule related to acquisition of the company own share .
neutral,the start of the negotiation relating to glaston efficiency program wa announced in october .
neutral,the swedish player became majority owner of ucell in mid-2007 .
neutral,"the total number of voting right is 74,612,523 ."
neutral,the total service concept also includes technology service with which raute support it customer throughout the entire life cycle of their investment .
neutral,"the transaction cover a building lot of 46,763 sq m and factory building of 19,631 sq m. since the autumn of 2007 when scanfil discontinued it production operation in oulu the facility have been partly leased to other party ."
neutral,the transaction is subject to a final agreement between the party approval of their decision-making body and approval by the finnish competition authority .
neutral,the transaction wa announced on september 29 when pohjola insurance agreed to pay eur 80 million ( usd 106.3 m ) in cash for pohjantahti .
neutral,the value of the order is eur 4mn .
neutral,"the value of the order is eur 700,000 ."
neutral,the value of the order is nearly eur400m .
neutral,the value of the order is usd 2.2 mn .
neutral,the value of the order is over eur 25mn .
neutral,the value of the total investment is about eur 600mn .
neutral,the venture recently agreed to buy motorola wireless network business for $ 1.2 billion and to deploy lightsquared national 4g network .
neutral,the vessel are the largest and fastest ropax vessel in the world that will be built by fincantieri .
neutral,the world of glass is coming to egypt and we invite visitor from all around the world to attend glass world exhibition 2009 register now at www.glassworldex.com
neutral,their name have not yet been released .
neutral,there did not seem to be enough hour in a day for pekkarinen .
neutral,these section will be put into place to form the load-bearing steel structure of the bridge say sami eronen senior vice president infrastructure and northern europe ruukki construction .
neutral,they can be used to control the speed of electric motor used by industry and municipal engineering and in power generation using renewable energy .
neutral,this will be done domestically and in neighboring market both organically and through acquisition .
neutral,through the new production line at the novator mill in veliky ustjug vologda oblast sveza will change it current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .
neutral,"tiimari registered share capital is 16,474,755 share a per today ."
neutral,treatment product in usa canada mexico australia and brazil today global research & data service is going to publish several market analysis about the market for water treatment product in some selected country .
neutral,u.s.-based t corp. is in talk with scandinavian telecom company teliasonera to sell it stake in uzbek cellular operator coscom an executive at coscom told interfax .
neutral,under the contract ericsson will more than double the number of radio base station in the elisa network over the coming year .
neutral,upon completion of these transaction metso stake will amount to more than 60 .
neutral,upon establishment the plan is directed to approximately 20 person .
neutral,why not give your bedroom a cool makeover for summer .
neutral,"virala oy ab wa allocated by the board of director an amount of eur 1,9 million which is eur 0,25 million lower than maximum announced on 12/30/2010 ."
neutral,von koskull will oversee a new unit of nordea which brings together corporate merchant banking financial institution and capital market product division .
neutral,yit kausta will build commercial and residential highrises in virsuliskes area .
neutral,- the group - s cumulative sale during the review period were eur 48.2 million eur 53.1 million 1-9/2007 and profit before tax wa eur 1.2 1.4 million .
neutral,compagnie de financement foncier - is to issue a benchmark 10 year covered deal in euro .
neutral,because we 're a pension insurance company we 're required to diversify and not put too much in one asset class .
neutral,marimekko aim to expand it distribution network primarily by increasing the number of concept store and shop-in-shops .
